,emb1,emb2,y
0,-0.39480647,0.36605197,0.0
1,0.40593925,-0.05804217,0.0
2,-0.41486958,-0.10974622,0.0
3,5.6461124,1.5369616,0.0
4,0.68555987,1.0805733,0.0
5,5.6435423,1.5319693,0.0
6,1.197664,0.4886123,0.0
7,1.2304329,1.1509471,0.0
8,0.66890144,1.0789034,0.0
9,5.337312,0.34729975,0.0
10,-0.71934426,0.9772441,0.0
11,0.39810613,-0.058352023,1.0
12,0.811308,-0.036376506,0.0
13,-0.9854562,0.9355232,0.0
14,1.1989486,0.49471456,1.0
15,0.6950679,1.0894268,0.0
16,5.6285057,1.5599966,0.0
17,-0.71318763,0.9755098,0.0
18,1.2289702,1.182539,0.0
19,-0.4168182,-0.10642213,0.0
20,-0.3287478,-0.25665793,0.0
21,-0.71349955,0.9772907,0.0
22,5.2709618,0.34371287,0.0
23,1.2136937,1.1534424,0.0
24,5.295633,0.3455341,0.0
25,-0.9512942,0.9393299,0.0
26,-0.7212721,0.9859795,0.0
27,-0.71527296,0.97727376,0.0
28,0.7894062,1.1040108,0.0
29,5.0407987,1.507591,0.0
30,1.2160512,0.4939537,0.0
31,0.8131832,-0.026785016,1.0
32,-0.41713196,-0.10588692,0.0
33,-0.9963292,0.94606405,0.0
34,0.69313025,1.0842459,0.0
35,5.0726633,0.8789148,0.0
36,0.70580447,1.1012318,0.0
37,5.639466,1.5172825,0.0
38,-0.40620783,0.35545856,0.0
39,0.7735959,-0.052355766,0.0
40,0.7301736,1.1009121,0.0
41,0.4237788,-0.052705258,0.0
42,4.9963207,1.5075221,0.0
43,-0.70203567,0.97894126,0.0
44,0.35543135,-0.071187705,1.0
45,-1.0001097,0.9321125,0.0
46,4.450925,0.8640794,0.0
47,1.3702612,1.1946878,0.0
48,-0.7216947,0.9736076,0.0
49,-0.4165486,-0.10688199,0.0
50,-0.4179607,-0.10447316,0.0
51,-0.40476537,0.3781342,0.0
52,0.69730926,0.42318094,0.0
53,-0.41374573,-0.11166333,0.0
54,0.9012575,-0.0437437,0.0
55,0.87323356,1.124804,0.0
56,5.636904,1.5163872,0.0
57,-0.735134,0.9843015,0.0
58,-1.0224011,0.92661804,0.0
59,1.1461143,0.48925042,0.0
60,0.68451405,1.0841982,0.0
61,0.616251,1.0788448,0.0
62,0.65739584,1.0909224,0.0
63,5.064536,0.88738745,0.0
64,0.3884357,-0.068629414,0.0
65,-0.41991085,-0.101146474,0.0
66,0.48870602,-0.060321987,0.0
67,5.650706,1.5314727,0.0
68,1.3563262,0.503717,0.0
69,-0.7130256,0.9772791,0.0
70,-0.7273886,0.97358304,0.0
71,-1.0135924,0.9335931,0.0
72,-0.6985884,0.97856635,0.0
73,0.70382214,1.1091433,0.0
74,-0.7199714,0.97361714,0.0
75,0.7675303,0.4226101,0.0
76,1.1685258,1.1526682,0.0
77,-0.72039247,0.9772523,0.0
78,0.75455177,-0.05851546,0.0
79,1.2330816,1.1734612,0.0
80,0.7904093,-0.054889858,0.0
81,4.6414647,0.2702725,0.0
82,-0.72772944,0.98569864,0.0
83,5.0744367,0.8864638,1.0
84,0.7515764,-0.07548377,1.0
85,-0.7515178,0.9832489,0.0
86,5.6440644,1.5170844,0.0
87,-0.7286747,0.9893381,0.0
88,1.306369,1.1840296,1.0
89,0.7056563,1.0874813,0.0
90,-0.7628493,0.9665099,0.0
91,0.6879102,1.0842099,0.0
92,-0.77640164,0.97855216,0.0
93,0.77337813,-0.05485925,0.0
94,0.72535574,1.1025121,1.0
95,1.2216929,1.1692407,0.0
96,-0.39956772,-0.13584901,0.0
97,0.6376847,1.0718048,0.0
98,5.3324685,0.34549296,0.0
99,5.342314,0.3476832,0.0
100,0.8839822,1.1190751,0.0
101,0.29454473,-0.066191435,0.0
102,-0.71578854,0.988983,0.0
103,1.1855621,1.146703,1.0
104,5.635579,1.522181,0.0
105,-1.0108182,0.93223244,0.0
106,1.1627845,1.1381149,1.0
107,-0.42046607,-0.10019936,0.0
108,-0.69925296,0.9926869,0.0
109,-0.96695244,0.9337109,0.0
110,0.31418863,-0.06822881,0.0
111,-0.72805,0.9893486,0.0
112,5.6387315,1.530066,0.0
113,5.350125,0.3475731,0.0
114,-0.6986395,0.9789532,0.0
115,0.68176746,1.1013145,0.0
116,-1.0157659,0.9287655,1.0
117,0.5026103,-0.060233116,0.0
118,0.7854718,-0.048621774,0.0
119,5.0698986,1.5138156,0.0
120,-0.32757795,-0.25865355,0.0
121,-0.3950988,-0.14347242,0.0
122,0.87118447,1.1197386,0.0
123,0.7206584,1.0774608,0.0
124,0.41308597,-0.052938044,0.0
125,-0.98950243,0.930379,0.0
126,1.1665796,1.134516,1.0
127,4.6459055,0.272927,0.0
128,5.5914125,1.5398855,0.0
129,0.7007457,1.0842416,0.0
130,0.6948,1.0826032,1.0
131,0.69073224,1.0842187,0.0
132,0.8701037,1.1074777,0.0
133,0.39809266,-0.054838598,0.0
134,-0.37648973,0.36470044,0.0
135,5.3165674,0.3457021,0.0
136,0.7299892,0.42566353,0.0
137,-0.93966186,0.9371125,1.0
138,0.74745965,0.43306386,0.0
139,4.7712317,0.2828365,1.0
140,-0.41404253,-0.111157,0.0
141,0.875942,1.1356156,0.0
142,1.2288965,1.1535189,0.0
